     abs(τq_K_D),        abs(ωq_K_D)
13.2030558279152, 0.0540490126473443
13.0604642415655, 0.0689071238429764
12.9136070274144, 0.0837109890966976
12.7623180360857, 0.0984525446613376
12.6064310925713, 0.1131237216010660
12.4457799476077, 0.1277164541498090
12.2801983645322, 0.1422228091232340
12.1095200078937, 0.1566372934518020
11.9335784847079, 0.1709534763631870
11.7522074032127, 0.1851620822596810
11.5652402984829, 0.1992537352441410
11.3725106050113, 0.2132190572188070
11.1738517294144, 0.2270486732556250
10.9690970226881, 0.2407332047117120
10.7580797830113, 0.2542632745997450
10.5406332409020, 0.2676295077695530
10.3166243409985, 0.2808225249120410
10.0860405942643, 0.2938329510183950
 9.8489584008074, 0.3066514091012640
 9.6054445010843, 0.3192685208004220
 9.3555620239445, 0.3316749112483650
 9.0993739913802, 0.3438612022867920
 8.8369434087530, 0.3558180164841840
 8.5683332304255, 0.3675359781250820
 8.2936063986633, 0.3790057099798810
 8.0128257480117, 0.3902178348795260
 7.7260541439785, 0.4011630675557100
 7.4333543851166, 0.4118331839800250
 7.1347892363923, 0.4222220178169130
 6.8304214331709, 0.4323242648052630
 6.5203136538026, 0.4421346305362400
 6.2045285710157, 0.4516478193492730
 5.8831288181989, 0.4608585360683360
 5.5561770112227, 0.4697614842051300
 5.2237356968246, 0.4783513696939950
 4.8858678809510, 0.4866228961072270
 4.5426586040092, 0.4945707695204830
 4.1942738841046, 0.5021896941722840
 3.8409825100486, 0.5094743724033470
 3.4830954707259, 0.5164195110161560
 3.1209267193074, 0.5230198147539300
 2.7547902323862, 0.5292699867044080
 2.3850000491355, 0.5351647333470540
 2.0118702495810, 0.5406987579916600
 1.6357149788222, 0.5458667655025730
 1.2568484454127, 0.5506634612488890
 0.8755848924960, 0.5550829425444760
 0.4922387060071, 0.5591164321998410
 0.1071242630094, 0.5627548910921670
 0.2794439449815, 0.5659895015528240
 0.6671513129245, 0.5688114493251370
 1.0556832366870, 0.5712119161348130
 1.4447248899346, 0.5731820867763080
 1.8339614850486, 0.5747131447317470
 2.2230780338262, 0.5757962737659580
 2.6117614580007, 0.5764226564525620
 2.9997355756021, 0.5765834785550880
 3.3868134952320, 0.5762699216579040
 3.7728261794413, 0.5754731696267710
 4.1575718143561, 0.5741844066100730
 4.5408473150765, 0.5723948179877360
 4.9224494539610, 0.5700955848999870
 5.3021749870220, 0.5672778913336960
 5.6798204856938, 0.5639329211344160
 6.0551824834258, 0.5600518592581140
 6.4280574298364, 0.5556258919730210
 6.7982415901693, 0.5506490530781360
 7.1655312520377, 0.5451242718498260
 7.5297224971480, 0.5390592590289340
 7.8906113355895, 0.5324623047833850
 8.2479936936502, 0.5253417043283560
 8.6016653456146, 0.5177057494267160
 8.9514219577775, 0.5095627343245630
 9.2970591248591, 0.5009209511481650
 9.6383722872719, 0.4917886939821060
 9.9751560890432, 0.4821742553362490
10.3072030146627, 0.4720859280434660
10.6343271406029, 0.4615320061681610
10.9563728806774, 0.4505207822000020
11.2731948899885, 0.4390605501832150
11.5846478289906, 0.4271596019613850
11.8905862300725, 0.4148262312759190
12.1908645427973, 0.4020687309395060
12.4853370962817, 0.3888953953799480
12.7738581481335, 0.3753145153910260
13.0562818263092, 0.3613344228311280
13.3324621746118, 0.3469652767728390
13.6022531163189, 0.3322219560553190
13.8655084185063, 0.3171227783668990
14.1220818590480, 0.3016863390565460
14.3718269990174, 0.2859312339577880
14.6145973367590, 0.2698760585609300
14.8502462745314, 0.2535394082351220
15.0786270714880, 0.2369398784908590
15.2995928808627, 0.2200960653837510
15.5129890709072, 0.2030265642021870
15.7186062415397, 0.1857499688819300
15.9161520718498, 0.1682848781435110
16.1053199224024, 0.1506498853372050
16.2858055695598, 0.1328635856100910
16.4573047144399, 0.1149445766530880
16.6195127560983, 0.0969114509886934
16.7721249753346, 0.0787828070144492
16.9148364256682, 0.0605772384641779
17.0473419791071, 0.0423133424433372
17.1693362866368, 0.0240095496184325
17.2805138676757, 0.0056813061422292
17.3805689703315, 0.0126610302721755
17.4691956831518, 0.0310095489714975
17.5460878771526, 0.0493564297899974
17.6109392837746, 0.0676938530666465
17.6634433406987, 0.0860139967984894
17.7032933357383, 0.1043090421118810
17.7301823488844, 0.1225711661761080
17.7438033234565, 0.1407925493503400
17.7438767007785, 0.1589653713476860
17.7302666686135, 0.1770818089336630
17.7030474641600, 0.1951340450516420
17.6623656228184, 0.2131142560633560
17.6083746234870, 0.2310146226106000
17.5412280626851, 0.2488273239017710
17.4610795004841, 0.2665445389029830
17.3680826273877, 0.2841584461967890
17.2623911192958, 0.3016612262028920
17.1441587473226, 0.3190450576047780
17.0135393284910, 0.3363020619103920
16.8706866992371, 0.3534240974022540
16.7157548429367, 0.3704037885996460
16.5488977315834, 0.3872342633360360
16.3702694434382, 0.4039086569956130
16.1800240955723, 0.4204201039127190
15.9783159088943, 0.4367617373516810
15.7652991585865, 0.4529266916468670
15.5411282202195, 0.4689081009307230
15.3059578821479, 0.4846990995779830
15.0599640981251, 0.5002928221854720
14.8033965234476, 0.5156824026029770
14.5365958012528, 0.5308609752860120
14.2599464961851, 0.5458216724288710
13.9738367334946, 0.5605576316971030
13.6786548761299, 0.5750619836900760
13.3747895232288, 0.5893278645389890
13.0626294979981, 0.6033484081138330
12.7425638702826, 0.6171167486883890
12.4149819636357, 0.6306260193856730
12.0802733346237, 0.6438687087715870
11.7388277337087, 0.6568333268679500
11.3910352615815, 0.6695043118182870
11.0372861956173, 0.6818651774083320
10.6779710331038, 0.6938994344156430
10.3134806076465, 0.7055905996947060
